City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Namibe,-15.1961,12.1522,65.43,91,67,3.78,broken clouds
232,Te Anau,-45.4167,167.7167,56.03,63,26,2.44,scattered clouds
233,Pitimbu,-7.4706,-34.8086,75.79,84,0,8.57,clear sky
234,Adana,36.985,35.2881,68.02,88,75,12.66,broken clouds
235,Husavik,66.0449,-17.3389,45.82,96,100,7.78,overcast clouds
236,Fortuna,40.5982,-124.1573,62.92,83,84,2.06,broken clouds
237,Mazagao,-0.115,-51.2894,82.45,81,21,6.58,few clouds
238,Invermere,50.5167,-116.0354,54.36,45,0,2.71,clear sky
239,Cangucu,-31.395,-52.6756,49.51,92,100,6.2,light rain
240,Carutapera,-1.195,-46.02,78.22,78,5,8.88,clear sky
241,Carnarvon,-24.8667,113.6333,68.54,57,0,15.19,clear sky
242,Bilibino,68.0546,166.4372,43.02,58,49,13.85,scattered clouds
243,Gbarnga,6.9956,-9.4722,68.74,100,94,0.92,overcast clouds
244,Santa Rosa,14.3122,121.1114,86.11,76,100,3.38,overcast clouds
245,Mareeba,-17.0,145.4333,87.44,50,49,6.64,scattered clouds
246,Saint-Joseph,-21.3667,55.6167,64.78,76,21,12.55,few clouds
247,Stokmarknes,68.5646,14.9108,51.78,93,100,5.75,light rain
248,Verkhnevilyuysk,63.4453,120.3167,33.87,59,58,8.12,broken clouds
249,San Cristobal,7.7669,-72.225,69.98,96,100,1.45,overcast clouds
250,Omboue,-1.5746,9.2618,75.4,86,100,5.44,overcast clouds
251,Pevek,69.7008,170.3133,39.87,67,0,11.16,clear sky
252,Waddan,29.1614,16.139,75.87,75,14,5.79,few clouds
253,Barra Patuca,15.8,-84.2833,79.18,83,78,6.11,broken clouds
254,Conde,-7.2597,-34.9075,74.66,94,20,5.75,few clouds
255,Port Blair,11.6667,92.75,80.64,83,75,9.22,broken clouds
256,Sundsvall,62.3913,17.3063,39.96,90,91,4.61,overcast clouds
257,La Trinitaria,16.1167,-92.05,60.98,93,100,4.81,overcast clouds
258,Berlevag,70.8578,29.0864,48.2,93,100,11.5,overcast clouds
259,Chokwe,-24.5333,32.9833,64.49,90,100,4.81,overcast clouds
260,The Valley,18.217,-63.0578,84.06,81,81,19.26,broken clouds
261,Riviere-Au-Renard,48.9957,-64.3971,53.89,95,99,4.41,overcast clouds
262,Basoko,1.2391,23.616,69.17,90,100,1.48,overcast clouds
263,Orlik,52.5178,99.825,43.38,55,86,4.32,overcast clouds
264,Alice Springs,-23.7,133.8833,78.35,19,0,8.05,clear sky
